WORDS17,
inert,without power to act or move
repudiate,to reject and refuse to support
subside,become less intense and violent
prohibitive,"tending to prohibit, disallow"
tenuous,weak and likely to change
diffuse,"very wordy, lacking clarity or conciseness"
penchant,a strong liking for
impassive,"revealing little emotion, expressionless"
saturate,fill to the utmost capacity
indeterminate,not fixed or known
cogent,very clear and convincing
itinerary,a planned route or journey
recant,"rescind, to retract a public statement"
resolution,determination
lassitude,tiredness and lack of energy
