WORDS18,
innocuous,harmless and innocent
plummet,fall down or drop down at high speed
incongruous,incompatible
shard,a sharp piece of glass or pottery
precarious,dangerously likely to fall or collapse
impair,weaken or damage
specious,seems to be true but is actually false
flag,become tired and weaker (in spirit and confidence)
recalcitrant,stubborn and resistant to authority
striated,striped
coagulate,to thicken or develop into a mass
bolster,"to makse something more strong and bold, support"
attenuate,"to reduce, weaken"
viscous,thick and slow to move
