WORDS12,
contentious,"controversial, likely to cause an argument"
logs,written record of an event
stipulate,demand something as a part of contract
flout,openly disobey a rule or law
abate,reduce in intensity
discordant,in disagreement
endemic,native to a specific area or group of people
foment,to incite or stir up
delineate,"clearly describe something, indicate the exact boundary of an area"
loquacious,very talkative
default,fail to satisfy a commitment
craven,overly cowardly
effrontery,shamelessly bold behaviour
