WORDS3,
implacable,not capable of being appeased
pedantic,"showing off learning, giving too much importance to details and formal rules"
pragmatic,practical (as opposed to idealistic)
abeyance,state of temporary disuse
aggregate,"to collect, gather into a mass"
anarchy,state of disorder due to absence of governing body
irresolute,"uncertain how to act, indecisive"
onerous,"burdensome, oppressive"
relegated,"demote, banish to an inferior position"
harangue,"loud and aggressive speech, verbal attack"
alleviate,"relieve, make less intense"
diatribe,abusive speech or piece of writing
