WORDS10,
mundane,"lacking excitement, found in ordinary course of events"
sage,"(n.) a person known for wisdom, (adj.) wise"
inconsequential,not important or significant
confound,to cause surprise/confusion OR to mix up
recluse,a person who lives a solitary life (avoids company)
austere,having no luxury (plain and without decoration) OR strict
profound,"deep, intense or great OR having good knowledge"
probity,"having strong moral principles, integrity"
arduous,demanding great effort
skeptic,person who questions accepted opinions
belie,to contradict OR to give a false impression of something
desultory,"not having any plan, occuring sporadically"
fledgling,person or group that is inexperienced
