WORDS6,
plethora,large amount (excessive variety)
dissolution,formally ending a partnership OR living a life of indulgence in sensual pleasures
alacrity,cheerful readiness
appropriate,"(v.) take something for one's own use, usually without permission OR devote money fpr a special purpose (allocate funds)"
desiccate,"dried up, without moisture"
admonished,scold and warn (out of care)
connoisseur,expert in a particular subject
abstemious,holding back from indulgence
obsequieous,"excessively submissive, overly obedient"
savor,enjoy something to the full
burnish,"to polish, make shiny"
conciliatory,trying to regain friendship or goodwill
antipathy,deep feeling of dislike
