WORDS7,
soporific,tending to cause drowsiness or sleep
verbose,using an excessive amount of words
efficacy,ability to produce a desired result
reproach,"(n.) expression of disapproval, (v.) to express disapproval or disappointment"
reticent,not revealing one's feelings
guile,"carfty or artful deception esp. in attaining a goal, insidious and cunning"
disseminate,tp spread (esp. information)
tractable,easy to control or influence
complaisant,inclination to oblige others
refractory,stubborn and hard to manage
compliant,in accordance with rules or standards
transgression,"violation of duty, law or moral principle"
capricious,"fickle, unpredictable mood"
irascible,tendency to be easily annoyed
