WORDS16,
exigency,pressing and necessary
erudite,having or showing profound knowledge
dismiss,disregard and treat as unworthy of consideration
analagous,similar
neophyte,someone who is new to something
obviate,to prevent or eliminate
tacit,implied but not directly stated
forestall,to stop something from happening
problematic,constituting or presenting a problem
gainsay,to contradict or deny
fallacious,idea or belief that is false
impermeable,to not allowing passage
burgeon,to grow and expand
ascetic,leading a life of self-denial and self-discipline
