WORDS1,
inchoate,"recently begun, rudimentary"
intractable,hard to control and manage
salubrious,"healthful, benefecial"
magnanimity,"kindness in giving, generosity"
homogenous,"of the same kind, alike"
paragon,model of perfection
luminous,giving off light
mitigate,"appease, moderate"
inundate,overwhelm
perennial,"enduring, continually recurring"
precursor,"predecessor, forerunner"
anomalous,abnormal. irregular
aesthetic,"principles underlying the work of an artist, dealing with beauty"
