WORDS5,
pervasive,spreading widely
emulate,immitate or match
eulogy,expression of praise on occassion of death
ebullient,full of energy
dormant,temporarily inactive
tirade,"long angry speech, harangue"
resolve,"determination, firmness of purpose"
equanimity,calmness and composure esp. in a diff situation
assuage,ease or lessen pain
exacerbate,to make a situation worse
invective,abusive language to criticize
deference,polite submission and respect
viable,"practical, workable, feasible"
