WORDS8,
reprobate,unrpincipled person
appease,pacify someone by meeting their demands
inadvertently,"accidental, resulting from carelessness"
wary,showing caution about danger
audacious,recklessly bold and daring (can be +ve or -ve)
mendacious,"lying, dishonest"
warranted,"justified, necessary, needed"
caustic,exteremely sarcastic or critical
boorish,"rude, insensitive, bad mannered person"
chicanery,trickery and decption
castigation,"harsh, verbal scolding"
vituperative,"bitter, harsh, abusive"
impeding,preventing or interfering with the progress of something
contrite,"show remorse, feel guilty"
