WORDS15,
digression,temporary deviation from main topic
rarefied,relevant to a very small group
idolatry,extreme devotion and admiration
propitiate,win the favour of someone by doing something
reverent,showing immense respect
fawning,giving a lot of attention in a flattering manner
malingerer,someone who pretends to be sick to avoid work
frugal,careful in spending money
welter,"a confused jumble, wild disorder"
stint,"(v.) supply an inadequate amount of something, to restrict in a stingy manner"
propriety,following what is socially acceptable in speech and behaviour
prodigal,spending resources wastefully and freely
solicitous,"full of interest, anxiety and concern"
disparage,to express a negative opinion
