WORDS14,
diffident,modest and shy due to lack of self-confidence
goad,annoy and provoke to get a reaction
adulterate,to make something impure by addition of something else
vacillate,"waver between decisions, undecided"
supersede,to replace something
presumptuous,making a judgement before knowing all of the facts
meticulous,showing great attention to detail
apprise,to report on the status of something
distill,purify and extract essence of
convoluted,extremely complex
daunt,make someone feel intimidated or scared
commensurate,"in proportion, equal"
decorum,proper behaviour
imperturbable,"unable to get excited, calm"
