WORDS9,
torpor,state of being motionless (emotional or physical)
officious,"assertive of authority, offensively interfering, intrusive with help or advice"
abscond,leave secretky and hide
strut,(v.) walk pompously with attitude
assiduous,showing great care and effort
whimsically,in an amusing or playful manner
gregarious,"sociable, fond of company"
plasticity,quality of being reshaped and molded
tortuous,"full of twists and turns, lengthy"
porous,having minute holes
indolent,"lazy, wanting to avoid activity"
levee,embankment to prevent overflow of river an flooding
pristine,"pure, clean and spotless"
lethargic,"sluggish, dull, inactive"
