WORDS23,
contention,"claim, assert, thesis ()"
esoteric,known to only a few
sanction,approve or ratify by governing body
hyperbole,exaggeration
compendium,"collection of facts, comprehensive summary"
perfidious,"deceitful, treacherous"
substantiate,"establish by evidence, prove"
recondite,"little known, hard to understand"
volatile,liable to change unpredictably
precipitate,"(adj.) hasty, sudden (v.) cause to happen suddenly"
document,(v.) provide written evidence
deterrant,"something that discourages action, obstacle"
