WORDS4,
stolidly,"calm, dependable, showing little emotion"
coda,concluding section of a dance or piece of music
platitude,overused remark or statement which is no longer interesting and thoughtful
beneficent,prone to doing kind and generous things
dirge,"mournful piece of music, a literary or musical lament"
quiescent,"quiet, in a state or period of inactivity"
elegy,a serious and sad poem displaying grief or mourning
prevaricate,speak or act in an evasive way
ambiguous,open to more than one meaning
placate,"appease, relieve"
pathological,involving or caused by a disease OR excessive level of some quality
condone,accept and approve something BUT with reluctance
immutable,"fixed, unchanging over time"
