WORDS2,
satiate,"supply with excess, supply"
morose,"gloomy, melancholy"
bombastic,high sounding with little meaning
grandeloqious,pmpous in style or language
perfunctory,"superficial, not thorough"
implode,burst inwards
opprobrium,"public disgrace, infamy, high criticism"
distend,"swell due to pressure from inside, swell, expand"
ostentatious,"pverdone, pretentious, tacky display"
felicitious,"lucky, suited to the situation"
approbation,approval
fervor,intense and passionate feeling
enhance,"intensify, improve the quality of"
mollify,soothe
