Abraded,worn away; eroded [abrade (v); abrasion (n)]
Agog,amazed; wide-eyed with enthusiasm
Aisle,corridor; passageway (esp. between rows of seats)
Amortize,pay off a debt in installments
Apposite,fitting; suitable
Arresting (a),attracting attention; striking	
Balm,soothing ointment or anything soothing [balmy (a)]
Barrage,extended gunfire to cover an attack; dam across river; deluge or information etc.
Brook,1. small stream; 2. tolerate
Burlesque,1. comic play; 2. lampoon
Calibrate,mark an accurate scale on a device
Cataclysmic,violently disruptive [cataclysm (n)]
Chantey,type of song sung by sailors	
Chorales,simple hymns
Compromised,1. damaged or put in doubt (esp. of reputation); 2. reached an agreement by giving up part of a claim
Curmudgeon,grumpy person
Diatribe,tirade; violent denunciation; stream of criticism
Discountenance,disallow
Dissident,person who disagrees [dissidence (n)]
Dissonance,discord; disagreement
Dormancy,state of inactivity
Drabness,dullness
Efficacy,effectiveness
Emboss,decorate with a raised design
Endow,give gift; provide with money etc.
Enigmatic,puzzling [enigma (n)]
Epithet,phrase used as a label or to express the essential nature of
Eschew,shun; avoid
Esoterica,obscure details
Exemplar,model type [exemplary (a)]
Falters,hesitates
Ferrous,concerned with iron or its compounds
Figurehead,symbol of power; nominal leader
Foolhardy,reckless [foolhardiness (n)]
Fracas,fight; disturbance
Frieze,decorative border
Gerontocracy,government by the aged
Gist,essence; main point
Homiletics,art of preaching and giving sermons
Homogeneity,evenness; uniformity
Imperative,must be obeyed
Impropriety,inappropriate behavior
